Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
26232.0,28647.0,32002.0,0.0,44214.0,国東市,0,1,Ōita Ken,33.55,131.7166666667
32772.0,34262.0,34702.0,35386.0,44213.0,由布市,0,0,Ōita Ken,33.1666666667,131.4166666667
33695.0,36584.0,39452.0,41548.0,44212.0,豊後大野市,0,0,Ōita Ken,32.9666666667,131.5833333333
52771.0,56258.0,59008.0,60809.0,44211.0,宇佐市,0,0,Ōita Ken,33.5166666667,131.3333333333
27999.0,30185.0,32083.0,33567.0,44210.0,杵築市,0,0,Ōita Ken,33.4166666667,131.6
22112.0,22853.0,23906.0,25114.0,44209.0,豊後高田市,0,0,Ōita Ken,33.55,131.4333333333
20332.0,22332.0,24423.0,26534.0,44208.0,竹田市,0,0,Ōita Ken,32.9666666667,131.3833333333
16100.0,17969.0,19917.0,21456.0,44207.0,津久見市,0,0,Ōita Ken,33.0666666667,131.85
36158.0,38748.0,41469.0,43352.0,44206.0,臼杵市,0,0,Ōita Ken,33.1166666667,131.8
66851.0,72211.0,76951.0,80297.0,44205.0,佐伯市,0,0,Ōita Ken,32.95,131.8833333333
62657.0,66523.0,70940.0,74165.0,44204.0,日田市,0,0,Ōita Ken,33.3166666667,130.9333333333
82863.0,83965.0,84312.0,84368.0,44203.0,中津市,0,0,Ōita Ken,33.5833333333,131.1833333333
115321.0,122138.0,125385.0,126959.0,44202.0,別府市,0,0,Ōita Ken,33.2833333333,131.4833333333
475614.0,478146.0,474094.0,462317.0,44201.0,大分市,0,0,Ōita Ken,33.2333333333,131.6
0.0,0.0,0.0,5836.0,43533.0,河浦町,1,0,Kumamoto Ken,32.33286,130.07917
0.0,0.0,0.0,4233.0,43532.0,天草町,1,0,Kumamoto Ken,32.37458,129.99667
7114.0,7739.0,8314.0,8927.0,43531.0,苓北町,0,0,Kumamoto Ken,32.5,130.05
0.0,0.0,0.0,9932.0,43530.0,五和町,1,0,Kumamoto Ken,32.51222,130.18769
0.0,0.0,0.0,3960.0,43529.0,新和町,1,0,Kumamoto Ken,32.36322,130.18117
0.0,0.0,0.0,2794.0,43528.0,栖本町,1,0,Kumamoto Ken,32.42197,130.27278
0.0,0.0,0.0,3493.0,43527.0,倉岳町,1,0,Kumamoto Ken,32.40958,130.34089
0.0,0.0,0.0,3615.0,43526.0,御所浦町,1,0,Kumamoto Ken,32.34008,130.33911
0.0,0.0,0.0,6057.0,43523.0,有明町,1,0,Kumamoto Ken,32.51308,130.31456
14676.0,15523.0,16638.0,17300.0,43514.0,あさぎり町,0,0,Kumamoto Ken,32.2333333333,130.8833333333
2433.0,3698.0,4249.0,4786.0,43513.0,球磨村,0,0,Kumamoto Ken,32.25,130.65
3238.0,3422.0,3681.0,3901.0,43512.0,山江村,0,0,Kumamoto Ken,32.2333333333,130.7666666667
931.0,1055.0,1205.0,1358.0,43511.0,五木村,0,0,Kumamoto Ken,32.3833333333,130.8166666667
4070.0,4468.0,4934.0,5398.0,43510.0,相良村,0,0,Kumamoto Ken,32.2333333333,130.7833333333
2033.0,2232.0,2405.0,2597.0,43507.0,水上村,0,0,Kumamoto Ken,32.3,131.0
